# n,Basis,Teórico
1.000000000000000000e+00,2.500321094240941022e+01,2.500000000000000000e+01
2.000000000000000000e+00,7.502360962193260718e+01,7.500000000000000000e+01
3.000000000000000000e+00,1.251766891820277721e+02,1.250000000000000000e+02
4.000000000000000000e+00,1.760078178778816778e+02,1.750000000000000000e+02
5.000000000000000000e+00,2.289984294688636908e+02,2.250000000000000000e+02
6.000000000000000000e+00,2.865936182692926195e+02,2.750000000000000000e+02
7.000000000000000000e+00,3.513244398816613057e+02,3.250000000000000000e+02
8.000000000000000000e+00,4.249007679724231821e+02,3.750000000000000000e+02
9.000000000000000000e+00,5.081201090892270713e+02,4.250000000000000000e+02
1.000000000000000000e+01,6.012535291423251920e+02,4.750000000000000000e+02
1.100000000000000000e+01,7.043631193208930199e+02,5.250000000000000000e+02
1.200000000000000000e+01,8.174461842179600808e+02,5.750000000000000000e+02
1.300000000000000000e+01,9.404853881145731975e+02,6.250000000000000000e+02
1.400000000000000000e+01,1.073462880013253198e+03,6.750000000000000000e+02
1.500000000000000000e+01,1.216364247349125208e+03,7.250000000000000000e+02
1.600000000000000000e+01,1.369177857410473280e+03,7.750000000000000000e+02
1.700000000000000000e+01,1.531895465709785185e+03,8.250000000000000000e+02
1.800000000000000000e+01,1.704509910423385918e+03,8.750000000000000000e+02
1.900000000000000000e+01,1.887017020704060087e+03,9.250000000000000000e+02
2.000000000000000000e+01,2.079411675814655155e+03,9.750000000000000000e+02
2.100000000000000000e+01,2.281692881035007758e+03,1.025000000000000000e+03
2.200000000000000000e+01,2.493855325931513107e+03,1.075000000000000000e+03
2.300000000000000000e+01,2.715902623955970739e+03,1.125000000000000000e+03
2.400000000000000000e+01,2.947825056988107008e+03,1.175000000000000000e+03
2.500000000000000000e+01,3.189640295143336971e+03,1.225000000000000000e+03
2.600000000000000000e+01,3.441317573364069176e+03,1.275000000000000000e+03
2.700000000000000000e+01,3.702943812584369880e+03,1.325000000000000000e+03
2.800000000000000000e+01,3.974373956614455892e+03,1.375000000000000000e+03
2.900000000000000000e+01,4.262776993526422302e+03,1.425000000000000000e+03
3.000000000000000000e+01,4.553718782326067412e+03,1.475000000000000000e+03
